bricklink_part_id,bricklink_color_id,color,before,after,quantity_delta
2456,86,Light Bluish Gray,0,5,5
3001,2,Tan,43,37,-6
3001,69,Dark Tan,34,33,-1
3001,86,Light Bluish Gray,360,147,-213
3001,150,Medium Nougat,77,41,-36
3002,2,Tan,19,17,-2
3002,86,Light Bluish Gray,9,18,9
3002,150,Medium Nougat,14,12,-2
3003,86,Light Bluish Gray,13,25,12
3004,2,Tan,63,55,-8
3004,69,Dark Tan,17,14,-3
3004,88,Reddish Brown,3,0,-3
3004,86,Light Bluish Gray,264,302,38
3004,85,Dark Bluish Gray,38,28,-10
3004,150,Medium Nougat,108,78,-30
3005,11,Black,141,115,-26
3005,2,Tan,127,108,-19
3005,69,Dark Tan,2,1,-1
3005,86,Light Bluish Gray,63,117,54
3005,85,Dark Bluish Gray,32,14,-18
3005,150,Medium Nougat,178,134,-44
3007,86,Light Bluish Gray,0,124,124
3009,86,Light Bluish Gray,0,10,10
3010,2,Tan,37,32,-5
3010,86,Light Bluish Gray,5,11,6
3010,85,Dark Bluish Gray,12,11,-1
3010,150,Medium Nougat,34,29,-5
3020,86,Light Bluish Gray,68,67,-1
3021,86,Light Bluish Gray,47,45,-2
3022,86,Light Bluish Gray,50,52,2
3023,86,Light Bluish Gray,326,310,-16
3023,68,Dark Orange,26,23,-3
3024,86,Light Bluish Gray,305,303,-2
3035,86,Light Bluish Gray,72,71,-1
