part_id,bricklink_part_id,part_name,ldraw_color_id,bricklink_color_id,color,renk,quantity,catalog_url
11477,11477,Slope Curved 1 x 2,19,2,Tan,Bej,24,https://www.bricklink.com/v2/catalog/catalogitem.page?P=11477&idColor=2
11477,11477,Slope Curved 1 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,118,https://www.bricklink.com/v2/catalog/catalogitem.page?P=11477&idColor=86
15068,15068,Slope Curved 2 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,54,https://www.bricklink.com/v2/catalog/catalogitem.page?P=15068&idColor=86
2412b,2412b,Tile 1 x 2 Grille with Bottom Groove,71,86,Light Bluish Gray,Açık mavimsi gri,34,https://www.bricklink.com/v2/catalog/catalogitem.page?P=2412b&idColor=86
2431,2431,Tile 1 x 4,28,69,Dark Tan,Koyu bej,18,https://www.bricklink.com/v2/catalog/catalogitem.page?P=2431&idColor=69
2877,2877,Brick 1 x 2 with Grille Profile,19,2,Tan,Bej,8,https://www.bricklink.com/v2/catalog/catalogitem.page?P=2877&idColor=2
3001,3001,Brick 2 x 4,19,2,Tan,Bej,43,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3001&idColor=2
3001,3001,Brick 2 x 4,28,69,Dark Tan,Koyu bej,34,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3001&idColor=69
3001,3001,Brick 2 x 4,71,86,Light Bluish Gray,Açık mavimsi gri,360,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3001&idColor=86
3001,3001,Brick 2 x 4,84,150,Medium Nougat,Orta nugat,77,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3001&idColor=150
3002,3002,Brick 2 x 3,19,2,Tan,Bej,19,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3002&idColor=2
3002,3002,Brick 2 x 3,28,69,Dark Tan,Koyu bej,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3002&idColor=69
3002,3002,Brick 2 x 3,71,86,Light Bluish Gray,Açık mavimsi gri,9,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3002&idColor=86
3002,3002,Brick 2 x 3,84,150,Medium Nougat,Orta nugat,14,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3002&idColor=150
3003,3003,Brick 2 x 2,0,11,Black,Siyah,3,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3003&idColor=11
3003,3003,Brick 2 x 2,19,2,Tan,Bej,21,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3003&idColor=2
3003,3003,Brick 2 x 2,28,69,Dark Tan,Koyu bej,5,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3003&idColor=69
3003,3003,Brick 2 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,13,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3003&idColor=86
3003,3003,Brick 2 x 2,72,85,Dark Bluish Gray,Koyu mavimsi gri,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3003&idColor=85
3003,3003,Brick 2 x 2,84,150,Medium Nougat,Orta nugat,21,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3003&idColor=150
3004,3004,Brick 1 x 2,0,11,Black,Siyah,14,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=11
3004,3004,Brick 1 x 2,19,2,Tan,Bej,63,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=2
3004,3004,Brick 1 x 2,28,69,Dark Tan,Koyu bej,17,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=69
3004,3004,Brick 1 x 2,70,88,Reddish Brown,Kızıl kahverengi,3,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=88
3004,3004,Brick 1 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,264,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=86
3004,3004,Brick 1 x 2,72,85,Dark Bluish Gray,Koyu mavimsi gri,38,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=85
3004,3004,Brick 1 x 2,84,150,Medium Nougat,Orta nugat,108,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=150
3004,3004,Brick 1 x 2,484,68,Dark Orange,Koyu turuncu,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3004&idColor=68
3005,3005,Brick 1 x 1,0,11,Black,Siyah,141,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=11
3005,3005,Brick 1 x 1,19,2,Tan,Bej,127,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=2
3005,3005,Brick 1 x 1,28,69,Dark Tan,Koyu bej,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=69
3005,3005,Brick 1 x 1,71,86,Light Bluish Gray,Açık mavimsi gri,63,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=86
3005,3005,Brick 1 x 1,72,85,Dark Bluish Gray,Koyu mavimsi gri,32,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=85
3005,3005,Brick 1 x 1,84,150,Medium Nougat,Orta nugat,178,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=150
3005,3005,Brick 1 x 1,484,68,Dark Orange,Koyu turuncu,58,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3005&idColor=68
30055,30055,Fence Spindled 1 x 4 x 2,19,2,Tan,Bej,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=30055&idColor=2
3010,3010,Brick 1 x 4,19,2,Tan,Bej,37,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3010&idColor=2
3010,3010,Brick 1 x 4,28,69,Dark Tan,Koyu bej,6,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3010&idColor=69
3010,3010,Brick 1 x 4,71,86,Light Bluish Gray,Açık mavimsi gri,5,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3010&idColor=86
3010,3010,Brick 1 x 4,72,85,Dark Bluish Gray,Koyu mavimsi gri,12,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3010&idColor=85
3010,3010,Brick 1 x 4,84,150,Medium Nougat,Orta nugat,34,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3010&idColor=150
3010,3010,Brick 1 x 4,484,68,Dark Orange,Koyu turuncu,12,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3010&idColor=68
30136,30136,Brick 1 x 2 Log,19,2,Tan,Bej,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=30136&idColor=2
3020,3020,Plate 2 x 4,0,11,Black,Siyah,26,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3020&idColor=11
3020,3020,Plate 2 x 4,19,2,Tan,Bej,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3020&idColor=2
3020,3020,Plate 2 x 4,71,86,Light Bluish Gray,Açık mavimsi gri,68,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3020&idColor=86
3021,3021,Plate 2 x 3,19,2,Tan,Bej,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3021&idColor=2
3021,3021,Plate 2 x 3,71,86,Light Bluish Gray,Açık mavimsi gri,47,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3021&idColor=86
3022,3022,Plate 2 x 2,0,11,Black,Siyah,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3022&idColor=11
3022,3022,Plate 2 x 2,19,2,Tan,Bej,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3022&idColor=2
3022,3022,Plate 2 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,50,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3022&idColor=86
3023,3023,Plate 1 x 2,0,11,Black,Siyah,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=11
3023,3023,Plate 1 x 2,19,2,Tan,Bej,13,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=2
3023,3023,Plate 1 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,326,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=86
3023,3023,Plate 1 x 2,484,68,Dark Orange,Koyu turuncu,26,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=68
